Date,Open,High,Low,Close,Adj Close,Volume
2015-01-23,84.830002,84.860001,84.809998,84.849998,79.848770,1089900
2015-01-26,84.830002,84.849998,84.790001,84.800003,79.801750,1576400
2015-01-27,84.860001,84.879997,84.820000,84.849998,79.848770,414900
2015-01-28,84.830002,84.919998,84.820000,84.910004,79.905243,743900
2015-01-29,84.879997,84.879997,84.830002,84.879997,79.877022,516100
2015-01-30,84.940002,84.980003,84.870003,84.980003,79.971153,474400
2015-02-02,84.940002,84.949997,84.879997,84.919998,79.945702,1883800
2015-02-03,84.889999,84.889999,84.830002,84.849998,79.879791,1015000
2015-02-04,84.820000,84.879997,84.790001,84.860001,79.889221,798200
2015-02-05,84.849998,84.849998,84.809998,84.830002,79.860954,428400
2015-02-06,84.699997,84.699997,84.610001,84.629997,79.672684,774300
2015-02-09,84.650002,84.650002,84.610001,84.620003,79.663307,1616200
2015-02-10,84.629997,84.629997,84.589996,84.599998,79.644455,1194500
2015-02-11,84.629997,84.629997,84.599998,84.610001,79.653877,840500
2015-02-12,84.639999,84.680000,84.620003,84.639999,79.682106,1036300
2015-02-13,84.660004,84.690002,84.639999,84.639999,79.682106,1118600
2015-02-17,84.620003,84.660004,84.570000,84.599998,79.644455,562400
2015-02-18,84.620003,84.730003,84.589996,84.699997,79.738541,998400
2015-02-19,84.650002,84.720001,84.639999,84.650002,79.691505,744000
2015-02-20,84.699997,84.720001,84.610001,84.639999,79.682106,415200
2015-02-23,84.669998,84.690002,84.639999,84.680000,79.719727,715500
2015-02-24,84.669998,84.760002,84.620003,84.750000,79.785645,482800
2015-02-25,84.709999,84.750000,84.709999,84.750000,79.785645,485300
2015-02-26,84.680000,84.709999,84.650002,84.669998,79.710335,530600
2015-02-27,84.709999,84.720001,84.669998,84.699997,79.738541,3103100
2015-03-02,84.639999,84.660004,84.599998,84.599998,79.673599,3233200
2015-03-03,84.599998,84.620003,84.570000,84.580002,79.654747,1288800
2015-03-04,84.610001,84.629997,84.580002,84.599998,79.673599,572900
2015-03-05,84.639999,84.660004,84.610001,84.629997,79.701851,386800
2015-03-06,84.510002,84.559998,84.500000,84.540001,79.617111,503300
2015-03-09,84.540001,84.580002,84.529999,84.580002,79.654747,367200
2015-03-10,84.629997,84.629997,84.570000,84.599998,79.673599,1039600
2015-03-11,84.599998,84.620003,84.570000,84.599998,79.673599,607500
2015-03-12,84.639999,84.669998,84.599998,84.620003,79.692436,1158100
2015-03-13,84.610001,84.669998,84.610001,84.629997,79.701851,436500
2015-03-16,84.639999,84.680000,84.629997,84.639999,79.711266,934000
2015-03-17,84.669998,84.669998,84.620003,84.620003,79.692436,1255600
2015-03-18,84.620003,84.830002,84.580002,84.820000,79.880798,873500
2015-03-19,84.750000,84.779999,84.699997,84.709999,79.777214,351000
2015-03-20,84.779999,84.790001,84.750000,84.769997,79.833694,721900
2015-03-23,84.779999,84.809998,84.750000,84.800003,79.861946,683900
2015-03-24,84.800003,84.830002,84.769997,84.830002,79.890190,535900
2015-03-25,84.830002,84.839996,84.779999,84.809998,79.871338,932000
2015-03-26,84.779999,84.779999,84.730003,84.769997,79.833694,963400
2015-03-27,84.790001,84.830002,84.790001,84.820000,79.880798,595300
2015-03-30,84.830002,84.839996,84.800003,84.809998,79.871338,793600
2015-03-31,84.830002,84.879997,84.820000,84.879997,79.937294,1035200
2015-04-01,84.839996,84.879997,84.839996,84.879997,79.972176,2228700
2015-04-02,84.879997,84.879997,84.830002,84.870003,79.962715,643500
2015-04-06,84.980003,84.980003,84.910004,84.940002,80.028679,1162400
2015-04-07,84.879997,84.900002,84.879997,84.879997,79.972176,544500
2015-04-08,84.889999,84.900002,84.839996,84.879997,79.972176,1086800
2015-04-09,84.860001,84.870003,84.839996,84.849998,79.943878,459000
2015-04-10,84.860001,84.870003,84.830002,84.830002,79.925034,614400
2015-04-13,84.830002,84.879997,84.830002,84.879997,79.972176,754400
2015-04-14,84.900002,84.940002,84.889999,84.919998,80.009842,449200
2015-04-15,84.910004,84.930000,84.900002,84.919998,80.009842,772200
2015-04-16,84.940002,84.970001,84.900002,84.959999,80.047523,11419400
2015-04-17,84.910004,84.949997,84.910004,84.919998,80.009842,727200
2015-04-20,84.900002,84.930000,84.879997,84.910004,80.000427,460900
2015-04-21,84.860001,84.919998,84.860001,84.919998,80.009842,565700
2015-04-22,84.870003,84.889999,84.849998,84.849998,79.943878,582200
2015-04-23,84.860001,84.889999,84.860001,84.889999,79.981575,561700
2015-04-24,84.919998,84.930000,84.900002,84.919998,80.009842,405800
2015-04-27,84.919998,84.919998,84.889999,84.910004,80.000427,439300
2015-04-28,84.870003,84.910004,84.870003,84.870003,79.962715,506400
2015-04-29,84.849998,84.879997,84.830002,84.879997,79.972176,461400
2015-04-30,84.839996,84.879997,84.800003,84.870003,79.962715,746800
2015-05-01,84.800003,84.820000,84.779999,84.800003,79.929749,1996300
2015-05-04,84.790001,84.820000,84.769997,84.800003,79.929749,535700
2015-05-05,84.779999,84.820000,84.739998,84.779999,79.910896,8800900
2015-05-06,84.750000,84.769997,84.720001,84.750000,79.882591,1583000
2015-05-07,84.750000,84.760002,84.720001,84.720001,79.854317,909500
2015-05-08,84.839996,84.860001,84.820000,84.839996,79.967438,855400
2015-05-11,84.820000,84.830002,84.760002,84.760002,79.892052,2438600
2015-05-12,84.779999,84.800003,84.750000,84.769997,79.901489,497600
2015-05-13,84.830002,84.860001,84.800003,84.809998,79.939140,670900
2015-05-14,84.849998,84.889999,84.849998,84.889999,80.014572,992800
2015-05-15,84.849998,84.910004,84.849998,84.889999,80.014572,599200
2015-05-18,84.870003,84.889999,84.820000,84.839996,79.967438,5576400
2015-05-19,84.779999,84.820000,84.769997,84.790001,79.920341,544600
2015-05-20,84.809998,84.830002,84.790001,84.820000,79.948601,541600
2015-05-21,84.820000,84.860001,84.809998,84.849998,79.976860,677900
2015-05-22,84.800003,84.820000,84.779999,84.790001,79.920341,530500
2015-05-26,84.760002,84.820000,84.760002,84.800003,79.929749,634000
2015-05-27,84.779999,84.820000,84.769997,84.809998,79.939140,597100
2015-05-28,84.809998,84.860001,84.809998,84.849998,79.976860,888200
2015-05-29,84.839996,84.889999,84.839996,84.870003,79.995697,565900
2015-06-01,84.860001,84.860001,84.760002,84.779999,79.945755,8556400
2015-06-02,84.739998,84.769997,84.739998,84.769997,79.936310,715300
2015-06-03,84.720001,84.739998,84.709999,84.739998,79.908012,1359800
2015-06-04,84.750000,84.769997,84.720001,84.750000,79.917450,934300
2015-06-05,84.629997,84.690002,84.629997,84.669998,79.842010,599300
2015-06-08,84.680000,84.720001,84.680000,84.720001,79.889183,985400
2015-06-09,84.709999,84.709999,84.660004,84.680000,79.851440,1189700
2015-06-10,84.669998,84.669998,84.639999,84.660004,79.832581,817100
2015-06-11,84.660004,84.680000,84.629997,84.680000,79.851440,938600
2015-06-12,84.639999,84.690002,84.639999,84.660004,79.832581,398900
2015-06-15,84.709999,84.730003,84.690002,84.699997,79.870285,542700
2015-06-16,84.699997,84.730003,84.699997,84.730003,79.898582,6452900
2015-06-17,84.680000,84.790001,84.589996,84.790001,79.955185,2940900
2015-06-18,84.769997,84.809998,84.750000,84.809998,79.974022,625900
2015-06-19,84.839996,84.849998,84.820000,84.830002,79.992889,397700
2015-06-22,84.800003,84.800003,84.760002,84.769997,79.936310,438100
2015-06-23,84.720001,84.769997,84.720001,84.750000,79.917450,495300
2015-06-24,84.760002,84.790001,84.730003,84.790001,79.955185,681800
2015-06-25,84.750000,84.779999,84.730003,84.769997,79.936310,461900
2015-06-26,84.720001,84.750000,84.720001,84.720001,79.889183,476600
2015-06-29,84.830002,84.870003,84.790001,84.860001,80.021156,895700
2015-06-30,84.839996,84.889999,84.830002,84.860001,80.021156,3121300
2015-07-01,84.760002,84.779999,84.739998,84.750000,79.953285,11473000
2015-07-02,84.849998,84.879997,84.800003,84.879997,80.075905,2175100
2015-07-06,84.900002,84.919998,84.860001,84.900002,80.094749,1088300
2015-07-07,84.949997,84.980003,84.889999,84.889999,80.085335,2665300
2015-07-08,84.919998,84.989998,84.910004,84.980003,80.170235,1628600
2015-07-09,84.930000,84.940002,84.900002,84.919998,80.113655,1995800
2015-07-10,84.860001,84.879997,84.809998,84.839996,80.038170,1999200
2015-07-13,84.790001,84.800003,84.769997,84.800003,80.000443,856700
2015-07-14,84.820000,84.839996,84.820000,84.839996,80.038170,1062100
2015-07-15,84.820000,84.870003,84.790001,84.870003,80.066498,1068800
2015-07-16,84.769997,84.830002,84.769997,84.830002,80.028732,5841900
2015-07-17,84.779999,84.820000,84.779999,84.809998,80.009850,934900
2015-07-20,84.750000,84.769997,84.739998,84.760002,79.962723,1104900
2015-07-21,84.730003,84.800003,84.730003,84.769997,79.972168,653400
2015-07-22,84.760002,84.769997,84.739998,84.760002,79.962723,760400
2015-07-23,84.709999,84.779999,84.709999,84.769997,79.972168,854200
2015-07-24,84.769997,84.830002,84.760002,84.790001,79.991005,810500
2015-07-27,84.860001,84.870003,84.830002,84.849998,80.047600,4482800
2015-07-28,84.830002,84.849998,84.809998,84.830002,80.028732,2113800
2015-07-29,84.820000,84.849998,84.790001,84.809998,80.009850,1590900
2015-07-30,84.769997,84.790001,84.750000,84.769997,79.972168,581400
2015-07-31,84.860001,84.879997,84.839996,84.860001,80.057014,4190600
2015-08-03,84.790001,84.860001,84.790001,84.849998,80.083443,5562900
2015-08-04,84.800003,84.820000,84.720001,84.720001,79.960747,1228800
2015-08-05,84.709999,84.730003,84.680000,84.730003,79.970200,1825600
2015-08-06,84.739998,84.769997,84.730003,84.750000,79.989098,1132300
2015-08-07,84.699997,84.750000,84.690002,84.709999,79.951332,934300
2015-08-10,84.709999,84.730003,84.699997,84.709999,79.951332,1397700
2015-08-11,84.820000,84.830002,84.790001,84.820000,80.055138,1889400
2015-08-12,84.839996,84.879997,84.800003,84.820000,80.055138,1508300
2015-08-13,84.779999,84.800003,84.739998,84.750000,79.989098,537000
2015-08-14,84.709999,84.750000,84.709999,84.709999,79.951332,837600
2015-08-17,84.750000,84.779999,84.750000,84.760002,79.998550,646700
2015-08-18,84.739998,84.760002,84.720001,84.750000,79.989098,466300
2015-08-19,84.739998,84.839996,84.709999,84.830002,80.064598,960600
2015-08-20,84.839996,84.839996,84.800003,84.800003,80.036293,5879000
2015-08-21,84.849998,84.900002,84.830002,84.889999,80.121216,2062900
2015-08-24,85.050003,85.050003,84.889999,84.930000,80.158966,4491400
2015-08-25,84.889999,84.940002,84.849998,84.889999,80.121216,2708000
2015-08-26,84.870003,84.940002,84.839996,84.839996,80.074028,2519400
2015-08-27,84.839996,84.870003,84.800003,84.849998,80.083443,2985300
2015-08-28,84.870003,84.879997,84.779999,84.809998,80.045700,1683200
2015-08-31,84.809998,84.839996,84.769997,84.779999,80.017395,7294500
2015-09-01,84.779999,84.800003,84.750000,84.769997,80.045731,6317000
2015-09-02,84.790001,84.800003,84.750000,84.790001,80.064621,5691300
2015-09-03,84.830002,84.830002,84.779999,84.790001,80.064621,2627800
2015-09-04,84.809998,84.839996,84.779999,84.800003,80.074059,1393900
2015-09-08,84.760002,84.779999,84.750000,84.769997,80.045731,3251500
2015-09-09,84.720001,84.769997,84.720001,84.750000,80.026871,1721000
2015-09-10,84.769997,84.779999,84.750000,84.779999,80.055153,1004100
2015-09-11,84.779999,84.820000,84.779999,84.809998,80.083473,539600
2015-09-14,84.809998,84.830002,84.790001,84.790001,80.064621,1649100
2015-09-15,84.779999,84.779999,84.669998,84.669998,79.951286,2200100
2015-09-16,84.680000,84.730003,84.660004,84.660004,79.941849,1454200
2015-09-17,84.660004,84.870003,84.660004,84.849998,80.121262,1268200
2015-09-18,84.849998,84.889999,84.849998,84.889999,80.159035,1424900
2015-09-21,84.839996,84.849998,84.820000,84.839996,80.111832,1668200
2015-09-22,84.879997,84.900002,84.860001,84.889999,80.159035,834300
2015-09-23,84.870003,84.900002,84.839996,84.860001,80.130714,1659800
2015-09-24,84.889999,84.949997,84.889999,84.910004,80.177933,1480700
2015-09-25,84.900002,84.919998,84.849998,84.870003,80.140160,1115900
2015-09-28,84.900002,84.940002,84.879997,84.930000,80.196800,2572000
2015-09-29,84.949997,84.989998,84.930000,84.970001,80.234604,1896600
2015-09-30,84.949997,85.000000,84.949997,84.989998,80.253471,9534800
2015-10-01,84.949997,84.980003,84.919998,84.949997,80.253487,5262900
2015-10-02,85.099998,85.120003,85.050003,85.070000,80.366829,1668700
2015-10-05,85.050003,85.050003,84.980003,85.010002,80.310158,5500700
2015-10-06,84.970001,85.019997,84.970001,85.000000,80.300728,1519100
2015-10-07,84.980003,84.989998,84.949997,84.980003,80.281799,3660700
2015-10-08,84.940002,85.000000,84.940002,84.959999,80.262909,1793100
2015-10-09,84.930000,84.959999,84.919998,84.959999,80.262909,1107700
2015-10-12,84.900002,84.980003,84.900002,84.940002,80.244011,1486900
2015-10-13,84.959999,84.980003,84.949997,84.970001,80.272385,1071300
2015-10-14,85.080002,85.099998,85.029999,85.089996,80.385727,3419100
2015-10-15,85.019997,85.050003,85.010002,85.040001,80.338470,1586000
2015-10-16,85.010002,85.029999,85.000000,85.000000,80.300728,942500
2015-10-19,85.010002,85.029999,84.989998,85.029999,80.329041,1434900
2015-10-20,84.970001,84.980003,84.959999,84.980003,80.281799,1029400
2015-10-21,84.980003,85.029999,84.970001,85.010002,80.310158,11122200
2015-10-22,85.010002,85.059998,85.010002,85.040001,80.338470,2382400
2015-10-23,84.980003,85.010002,84.949997,84.970001,80.272385,5657200
2015-10-26,84.970001,84.989998,84.959999,84.970001,80.272385,5901700
2015-10-27,85.000000,85.029999,85.000000,85.000000,80.300728,1024600
2015-10-28,84.980003,85.000000,84.849998,84.889999,80.196785,1658900
2015-10-29,84.839996,84.860001,84.830002,84.830002,80.140106,1526500
2015-10-30,84.830002,84.849998,84.820000,84.830002,80.140106,3242400
2015-11-02,84.709999,84.779999,84.709999,84.739998,80.093765,14599400
2015-11-03,84.720001,84.739998,84.709999,84.730003,80.084335,3643500
2015-11-04,84.699997,84.730003,84.639999,84.639999,79.999237,2120500
2015-11-05,84.639999,84.660004,84.610001,84.639999,79.999237,2775300
2015-11-06,84.559998,84.580002,84.540001,84.559998,79.923637,1832700
2015-11-09,84.540001,84.559998,84.529999,84.540001,79.904755,1619900
2015-11-10,84.580002,84.610001,84.550003,84.580002,79.942551,2139300
2015-11-11,84.620003,84.639999,84.559998,84.559998,79.923637,6885500
2015-11-12,84.580002,84.620003,84.580002,84.589996,79.952003,5866500
2015-11-13,84.599998,84.660004,84.599998,84.660004,80.018166,771100
2015-11-16,84.660004,84.680000,84.639999,84.660004,80.018166,1835200
2015-11-17,84.589996,84.660004,84.580002,84.629997,79.989822,4707700
2015-11-18,84.620003,84.639999,84.580002,84.599998,79.961418,1803400
2015-11-19,84.620003,84.629997,84.580002,84.580002,79.942551,1707300
2015-11-20,84.589996,84.620003,84.570000,84.580002,79.942551,798800
2015-11-23,84.540001,84.580002,84.540001,84.570000,79.933098,936600
