Date,Open,High,Low,Close,Adj Close,Volume
2015-01-23,93.239998,93.709999,92.599998,92.699997,87.027908,960700
2015-01-26,92.419998,92.680000,91.779999,92.550003,86.887085,1082400
2015-01-27,91.730003,92.980003,91.339996,92.330002,86.680565,1510800
2015-01-28,93.120003,95.050003,92.500000,92.750000,87.074867,1944100
2015-01-29,92.589996,93.720001,91.449997,93.680000,87.947968,1300800
2015-01-30,92.610001,93.150002,90.940002,91.050003,85.478867,1303000
2015-02-02,91.349998,91.769997,89.830002,91.760002,86.145424,1248600
2015-02-03,92.150002,92.790001,91.400002,92.739998,87.065460,1045800
2015-02-04,93.059998,93.510002,92.250000,92.470001,86.811989,1557700
2015-02-05,93.089996,93.930000,92.910004,93.669998,87.938568,1259900
2015-02-06,93.599998,93.989998,92.419998,92.709999,87.037300,1182300
2015-02-09,92.070000,92.910004,91.459999,91.900002,86.276894,793800
2015-02-10,92.500000,93.180000,92.139999,93.059998,87.365891,662100
2015-02-11,92.919998,93.519997,92.349998,92.959999,87.271996,838600
2015-02-12,93.449997,93.699997,92.889999,93.370003,87.656929,967100
2015-02-13,93.250000,94.550003,93.080002,94.510002,88.727165,1174900
2015-02-17,94.849998,95.199997,93.919998,95.070000,89.252899,1340500
2015-02-18,95.110001,95.309998,94.449997,95.250000,89.421883,1008200
2015-02-19,95.099998,95.389999,94.309998,94.559998,88.774132,839100
2015-02-20,93.959999,95.330002,93.750000,95.250000,89.421883,1115700
2015-02-23,95.250000,95.800003,95.050003,95.599998,89.750465,875900
2015-02-24,95.389999,95.699997,94.660004,94.879997,89.074532,1093800
2015-02-25,94.680000,94.910004,94.279999,94.570000,88.783501,990400
2015-02-26,94.610001,94.860001,94.019997,94.400002,88.623901,998100
2015-02-27,94.449997,95.250000,94.349998,94.750000,88.952477,1340000
2015-03-02,94.750000,96.180000,94.750000,96.010002,90.135399,1081400
2015-03-03,95.709999,95.830002,92.239998,92.440002,86.783813,2993000
2015-03-04,92.349998,93.029999,91.550003,92.370003,86.718117,1587800
2015-03-05,92.349998,93.129997,92.339996,92.989998,87.300186,1543500
2015-03-06,92.500000,92.500000,89.809998,90.070000,84.558830,2129900
2015-03-09,90.370003,91.150002,90.360001,91.019997,85.450722,1021800
2015-03-10,90.120003,90.860001,89.839996,90.300003,84.774773,1538900
2015-03-11,90.360001,90.959999,90.120003,90.459999,84.924965,1106900
2015-03-12,90.550003,92.040001,90.459999,91.949997,86.323807,892100
2015-03-13,91.830002,92.400002,90.709999,91.290001,85.704185,1254400
2015-03-16,91.839996,93.040001,91.839996,92.779999,87.103004,1177100
2015-03-17,92.089996,92.440002,91.690002,91.889999,86.267479,1036200
2015-03-18,91.570000,93.830002,91.300003,93.110001,87.412811,1382200
2015-03-19,93.019997,93.760002,92.839996,93.570000,87.844681,945500
2015-03-20,94.040001,94.400002,93.440002,93.650002,87.919792,2101900
2015-03-23,93.489998,94.180000,93.150002,93.709999,87.976112,918800
2015-03-24,93.570000,94.330002,93.360001,93.419998,87.703865,961100
2015-03-25,93.519997,94.239998,92.209999,92.290001,86.643013,1190200
2015-03-26,91.900002,92.230003,91.290001,91.529999,85.929512,1049700
2015-03-27,91.260002,92.730003,91.260002,92.559998,87.225250,1229700
2015-03-30,93.120003,93.860001,92.809998,93.550003,88.158195,1016600
2015-03-31,92.870003,93.580002,92.250000,92.250000,86.933121,1199500
2015-04-01,92.459999,92.580002,90.629997,91.180000,85.924797,2005600
2015-04-02,90.220001,91.870003,90.190002,91.120003,85.868256,1042300
2015-04-06,90.449997,92.180000,90.360001,91.760002,86.471375,1152600
2015-04-07,91.940002,92.389999,91.459999,91.480003,86.207504,1038900
2015-04-08,91.680000,92.339996,91.410004,92.019997,86.716370,1093100
2015-04-09,91.790001,93.110001,91.610001,93.070000,87.705864,1379900
2015-04-10,92.919998,94.059998,92.919998,93.739998,88.337257,1101700
2015-04-13,93.360001,93.970001,92.949997,93.099998,87.734131,1334900
2015-04-14,92.900002,93.279999,91.900002,92.540001,87.206421,1478100
2015-04-15,92.580002,92.970001,92.099998,92.290001,86.970825,752100
2015-04-16,92.150002,92.389999,91.779999,92.180000,86.867172,877000
2015-04-17,91.540001,92.790001,91.169998,92.500000,87.168724,2041600
2015-04-20,93.000000,93.540001,92.730003,93.349998,87.969711,1345300
2015-04-21,94.000000,94.809998,93.730003,94.709999,89.251343,1959400
2015-04-22,95.000000,97.300003,95.000000,96.449997,90.891060,2463600
2015-04-23,96.449997,97.419998,96.199997,97.180000,91.578979,1620100
2015-04-24,96.769997,97.160004,96.470001,96.900002,91.315125,1284500
2015-04-27,97.440002,97.440002,94.500000,94.629997,89.175964,1840500
2015-04-28,94.620003,95.410004,93.550003,95.099998,89.618874,1619100
2015-04-29,94.949997,94.949997,93.180000,94.320000,88.883827,1260000
2015-04-30,93.599998,93.989998,91.779999,92.239998,86.923714,1923500
2015-05-01,92.809998,93.449997,92.480003,93.400002,88.016838,1275700
2015-05-04,93.650002,94.150002,93.459999,93.629997,88.233582,1044600
2015-05-05,93.209999,93.550003,92.470001,92.900002,87.545662,1028700
2015-05-06,93.370003,93.470001,92.129997,92.559998,87.225250,984900
2015-05-07,92.370003,93.279999,92.370003,92.610001,87.272362,801500
2015-05-08,93.769997,94.800003,93.489998,94.559998,89.109993,1258400
2015-05-11,94.589996,94.879997,94.199997,94.360001,88.921509,741500
2015-05-12,93.980003,94.139999,93.040001,93.080002,87.715294,1098300
2015-05-13,93.150002,93.809998,92.709999,92.910004,87.555077,821400
2015-05-14,93.660004,95.339996,93.339996,95.260002,89.769630,1319700
2015-05-15,95.230003,95.680000,95.000000,95.510002,90.005234,1260900
2015-05-18,95.690002,96.889999,95.529999,96.589996,91.022995,995700
2015-05-19,96.480003,96.959999,96.160004,96.680000,91.107788,1025800
2015-05-20,96.669998,97.570000,96.669998,96.779999,91.202026,983800
2015-05-21,96.650002,96.839996,96.129997,96.400002,90.843948,744300
2015-05-22,96.190002,96.709999,95.790001,96.440002,90.881630,1267900
2015-05-26,96.370003,96.370003,95.300003,95.529999,90.024071,1164400
2015-05-27,96.000000,96.790001,95.550003,96.589996,91.022995,889500
2015-05-28,96.459999,96.940002,95.830002,96.239998,90.693161,862600
2015-05-29,96.150002,97.120003,95.730003,96.129997,90.589493,1330000
2015-06-01,96.669998,96.839996,95.440002,96.120003,90.580063,831400
2015-06-02,95.750000,96.639999,95.139999,96.110001,90.570656,776900
2015-06-03,96.449997,96.449997,95.610001,96.040001,90.504692,605000
2015-06-04,95.769997,95.970001,94.730003,95.040001,89.562309,968000
2015-06-05,95.040001,95.379997,94.489998,95.199997,89.713104,783000
2015-06-08,94.959999,95.459999,94.599998,94.620003,89.166542,610600
2015-06-09,94.470001,94.739998,93.949997,94.160004,88.733047,757100
2015-06-10,94.500000,96.110001,94.160004,96.010002,90.476425,1194400
2015-06-11,96.120003,96.849998,95.870003,96.540001,90.975868,798500
2015-06-12,96.110001,96.489998,95.529999,95.669998,90.156013,629200
2015-06-15,95.050003,95.169998,93.900002,94.669998,89.213638,1187600
2015-06-16,94.570000,95.309998,94.370003,95.160004,89.675415,719900
2015-06-17,95.339996,95.500000,94.570000,95.099998,89.618874,686100
2015-06-18,95.410004,97.330002,95.370003,97.150002,91.550713,1081600
2015-06-19,97.059998,97.300003,96.709999,96.879997,91.296280,1135400
2015-06-22,97.500000,97.900002,97.230003,97.400002,91.786301,604700
2015-06-23,97.300003,97.669998,96.480003,96.620003,91.051254,957900
2015-06-24,96.410004,97.269997,96.129997,96.720001,91.145485,1393500
2015-06-25,96.889999,97.180000,96.290001,96.449997,90.891060,860000
