Date,Open,High,Low,Close,Adj Close,Volume
2015-01-23,69.150002,69.150002,68.699997,68.739998,58.752914,790700
2015-01-26,68.690002,68.919998,68.330002,68.900002,58.889683,566400
2015-01-27,68.139999,68.260002,67.550003,67.820000,57.966602,994100
2015-01-28,68.480003,68.500000,67.080002,67.139999,57.385380,823200
2015-01-29,67.300003,67.970001,66.739998,67.879997,58.017883,726400
2015-01-30,67.339996,67.690002,66.669998,66.769997,57.069157,1002700
2015-02-02,67.050003,67.709999,66.400002,67.680000,57.846931,943800
2015-02-03,68.010002,68.610001,67.949997,68.580002,58.616180,853800
2015-02-04,68.349998,68.730003,68.120003,68.260002,58.342659,811500
2015-02-05,68.610001,69.000000,68.540001,68.970001,58.949512,688800
2015-02-06,69.139999,69.260002,68.510002,68.699997,58.718739,603200
2015-02-09,68.489998,68.750000,68.250000,68.449997,58.505062,479100
2015-02-10,68.980003,69.250000,68.510002,69.160004,59.111912,793600
2015-02-11,69.129997,69.279999,68.760002,69.120003,59.077724,646700
2015-02-12,69.459999,69.800003,69.440002,69.800003,59.658932,651900
2015-02-13,69.930000,70.019997,69.660004,70.010002,59.838421,789900
2015-02-17,69.910004,70.099998,69.709999,70.070000,59.889690,669800
2015-02-18,69.910004,70.070000,69.750000,70.059998,59.881153,456600
2015-02-19,69.879997,70.019997,69.680000,69.860001,59.710205,739400
2015-02-20,69.769997,70.199997,69.410004,70.169998,59.975166,564700
2015-02-23,70.059998,70.230003,69.930000,70.230003,60.026447,568800
2015-02-24,70.250000,70.570000,70.080002,70.480003,60.240124,509200
2015-02-25,70.480003,70.480003,70.160004,70.279999,60.069187,550400
2015-02-26,70.230003,70.339996,69.980003,70.279999,60.069187,519800
2015-02-27,70.250000,70.320000,70.019997,70.040001,59.864059,468400
2015-03-02,70.080002,70.269997,69.989998,70.250000,60.043545,645600
2015-03-03,70.139999,70.150002,69.709999,70.010002,59.838421,702200
2015-03-04,69.849998,69.849998,69.389999,69.650002,59.530720,557700
2015-03-05,69.690002,69.730003,69.370003,69.519997,59.419598,436900
2015-03-06,69.339996,69.360001,68.410004,68.559998,58.599091,1043300
2015-03-09,68.669998,69.059998,68.660004,68.820000,58.821301,553500
2015-03-10,68.400002,68.400002,67.779999,67.790001,57.940941,723200
2015-03-11,67.980003,67.980003,67.470001,67.519997,57.710182,714100
2015-03-12,67.680000,68.300003,67.680000,68.300003,58.376858,592600
2015-03-13,68.169998,68.169998,67.430000,67.910004,58.043526,594700
2015-03-16,68.120003,68.739998,68.110001,68.720001,58.735832,552900
2015-03-17,68.540001,68.690002,68.250000,68.570000,58.607620,458300
2015-03-18,68.349998,69.730003,68.150002,69.459999,59.368320,1733000
2015-03-19,69.209999,69.279999,68.900002,68.980003,58.958069,432600
2015-03-20,69.349998,69.709999,69.169998,69.489998,59.393967,463200
2015-03-23,69.070000,69.360001,69.019997,69.070000,59.430111,1542900
2015-03-24,69.070000,69.080002,68.510002,68.529999,58.965466,616600
2015-03-25,68.699997,68.800003,67.750000,67.769997,58.311539,643000
2015-03-26,67.580002,67.919998,67.250000,67.580002,58.148060,1125100
2015-03-27,67.610001,67.790001,67.440002,67.720001,58.268513,553600
2015-03-30,68.089996,68.720001,68.089996,68.580002,59.008484,552100
2015-03-31,68.279999,68.580002,68.029999,68.300003,58.767574,483400
2015-04-01,68.129997,68.129997,67.519997,67.860001,58.388992,851200
2015-04-02,67.860001,68.269997,67.800003,68.050003,58.552467,476400
2015-04-06,67.779999,68.769997,67.760002,68.559998,58.991272,580600
2015-04-07,68.639999,68.809998,68.440002,68.440002,58.888031,429700
2015-04-08,68.570000,68.669998,68.190002,68.440002,58.888031,461900
2015-04-09,68.400002,68.870003,68.250000,68.790001,59.189175,425800
2015-04-10,68.949997,69.349998,68.900002,69.349998,59.671017,387400
2015-04-13,69.300003,69.389999,68.949997,68.980003,59.352665,412400
2015-04-14,68.970001,69.260002,68.769997,69.160004,59.507549,378100
2015-04-15,69.449997,69.830002,69.419998,69.599998,59.886124,424600
2015-04-16,69.550003,69.760002,69.320000,69.559998,59.851696,446400
2015-04-17,69.260002,69.279999,68.580002,68.860001,59.249405,643800
2015-04-20,69.209999,69.699997,69.190002,69.510002,59.808701,496700
2015-04-21,69.790001,69.830002,69.120003,69.239998,59.576374,528700
2015-04-22,69.419998,69.650002,69.050003,69.589996,59.877533,581400
2015-04-23,69.410004,69.889999,69.330002,69.669998,59.946354,403400
2015-04-24,69.830002,69.949997,69.650002,69.910004,60.152859,352900
2015-04-27,70.040001,70.099998,69.610001,69.669998,59.946354,433100
2015-04-28,69.730003,70.209999,69.500000,70.209999,60.410992,795900
2015-04-29,69.839996,70.150002,69.669998,69.910004,60.152859,650300
2015-04-30,69.809998,69.870003,69.190002,69.459999,59.765667,563500
2015-05-01,69.669998,69.949997,69.540001,69.910004,60.152859,390100
2015-05-04,70.050003,70.290001,69.980003,70.110001,60.324951,429300
2015-05-05,70.059998,70.150002,69.330002,69.419998,59.731243,468300
2015-05-06,69.709999,69.769997,68.730003,69.120003,59.473125,548200
2015-05-07,69.120003,69.480003,68.930000,69.260002,59.593578,423500
2015-05-08,69.849998,70.209999,69.849998,70.150002,60.359379,438800
2015-05-11,70.110001,70.150002,69.720001,69.769997,60.032413,350800
2015-05-12,69.480003,69.750000,69.099998,69.589996,59.877533,1016500
2015-05-13,69.769997,69.959999,69.519997,69.620003,59.903320,321800
2015-05-14,69.989998,70.260002,69.959999,70.250000,60.445396,502400
2015-05-15,70.309998,70.330002,70.150002,70.330002,60.514256,260100
2015-05-18,70.230003,70.480003,70.190002,70.400002,60.574463,383200
2015-05-19,70.459999,70.480003,70.199997,70.370003,60.548664,392400
2015-05-20,70.449997,70.660004,70.349998,70.430000,60.600292,550700
2015-05-21,70.389999,70.610001,70.309998,70.510002,60.669121,651200
2015-05-22,70.419998,70.419998,70.190002,70.209999,60.410992,736300
2015-05-26,70.040001,70.040001,69.430000,69.629997,59.911942,592400
2015-05-27,69.790001,70.199997,69.650002,70.110001,60.324951,541000
2015-05-28,70.019997,70.150002,69.809998,70.120003,60.333542,381100
2015-05-29,70.110001,70.110001,69.620003,69.720001,59.989380,565100
2015-06-01,70.000000,70.000000,69.500000,69.730003,59.997974,460500
2015-06-02,69.580002,69.820000,69.320000,69.610001,59.894733,506000
2015-06-03,69.809998,69.989998,69.570000,69.650002,59.929150,357400
2015-06-04,69.449997,69.639999,68.970001,69.089996,59.447304,704100
2015-06-05,69.040001,69.150002,68.709999,68.800003,59.197792,443800
2015-06-08,68.800003,68.839996,68.519997,68.519997,58.956860,379300
2015-06-09,68.559998,68.800003,68.400002,68.589996,59.017094,523900
2015-06-10,68.959999,69.540001,68.930000,69.339996,59.662403,608300
2015-06-11,69.449997,69.660004,69.389999,69.529999,59.825905,530200
2015-06-12,69.260002,69.279999,68.830002,68.949997,59.326847,421700
2015-06-15,68.589996,68.779999,68.300003,68.610001,59.034306,572300
2015-06-16,68.559998,69.029999,68.430000,69.019997,59.387070,664400
2015-06-17,69.169998,69.400002,68.800003,69.190002,59.533352,599400
2015-06-18,69.349998,70.120003,69.349998,69.930000,60.170063,407700
2015-06-19,69.760002,69.860001,69.529999,69.540001,59.834503,358600
2015-06-22,69.989998,70.180000,69.820000,69.940002,60.178669,426200
2015-06-23,70.029999,70.089996,69.750000,69.889999,60.135662,403700
2015-06-24,69.820000,69.889999,69.370003,69.370003,59.688244,326300
2015-06-25,69.599998,69.599998,69.089996,69.099998,59.455910,455000
2015-06-26,68.589996,68.760002,68.430000,68.660004,59.560017,503800
2015-06-29,68.050003,68.290001,67.300003,67.339996,58.414967,921600
2015-06-30,67.900002,67.900002,67.120003,67.320000,58.397602,759000
2015-07-01,67.879997,67.910004,67.500000,67.769997,58.787979,850700
2015-07-02,67.949997,68.040001,67.620003,67.790001,58.805305,621700
2015-07-06,67.309998,67.790001,67.239998,67.570000,58.614483,893300
2015-07-07,67.610001,68.169998,66.860001,68.080002,59.056881,810800
2015-07-08,67.629997,67.709999,67.029999,67.129997,58.232792,653700
2015-07-09,67.989998,68.019997,67.160004,67.169998,58.267479,707500
2015-07-10,67.839996,68.019997,67.629997,67.879997,58.883400,411800
2015-07-13,68.440002,68.540001,68.300003,68.510002,59.429893,373400
2015-07-14,68.519997,68.779999,68.400002,68.730003,59.620735,619400
2015-07-15,68.739998,68.779999,68.430000,68.599998,59.507965,459700
2015-07-16,69.010002,69.120003,68.919998,69.110001,59.950382,511300
2015-07-17,68.949997,68.970001,68.650002,68.779999,59.664104,544700
2015-07-20,68.870003,68.870003,68.610001,68.730003,59.620735,402700
2015-07-21,68.620003,68.709999,68.190002,68.339996,59.282410,591700
2015-07-22,68.180000,68.330002,67.980003,68.139999,59.108929,416100
2015-07-23,68.269997,68.269997,67.669998,67.779999,58.796642,1507300
2015-07-24,67.699997,67.739998,67.000000,67.110001,58.215446,495900
2015-07-27,66.849998,67.050003,66.589996,66.860001,57.998573,802700
2015-07-28,67.190002,67.669998,66.870003,67.610001,58.649185,1091400
2015-07-29,67.709999,68.250000,67.620003,68.150002,59.117615,487100
2015-07-30,68.040001,68.239998,67.839996,68.180000,59.143623,316900
2015-07-31,68.410004,68.410004,67.930000,68.029999,59.013512,376400
2015-08-03,68.070000,68.070000,67.500000,67.830002,58.840019,816900
2015-08-04,67.849998,68.000000,67.540001,67.699997,58.727234,421100
2015-08-05,68.070000,68.379997,67.889999,67.989998,58.978809,666600
2015-08-06,68.029999,68.050003,67.440002,67.669998,58.701229,521300
2015-08-07,67.610001,67.610001,67.199997,67.419998,58.484352,741300
2015-08-10,67.860001,68.279999,67.769997,68.279999,59.230366,370400
2015-08-11,67.790001,67.849998,67.400002,67.699997,58.727234,449000
2015-08-12,67.190002,67.910004,66.879997,67.820000,58.831341,973900
2015-08-13,67.870003,67.940002,67.559998,67.699997,58.727234,546000
2015-08-14,67.639999,68.019997,67.610001,68.000000,58.987492,311100
2015-08-17,67.820000,68.269997,67.559998,68.239998,59.195675,442100
2015-08-18,68.169998,68.209999,67.940002,68.019997,59.004837,397900
2015-08-19,67.750000,67.959999,67.120003,67.449997,58.510384,532700
2015-08-20,67.010002,67.089996,66.320000,66.349998,57.556183,811600
2015-08-21,65.870003,66.040001,64.510002,64.510002,55.960041,2228700
2015-08-24,61.380001,63.799999,48.049999,61.439999,53.296925,4100800
2015-08-25,63.639999,63.959999,60.849998,60.849998,52.785122,2190900
2015-08-26,61.509998,63.130001,61.220001,63.060001,54.702221,1699400
2015-08-27,63.950001,64.529999,63.290001,64.519997,55.968712,1058700
2015-08-28,64.320000,64.709999,64.139999,64.550003,55.994736,681300
2015-08-31,64.250000,64.419998,63.779999,64.180000,55.673782,853200
2015-09-01,62.840000,63.110001,61.919998,62.250000,53.999569,1352900
2015-09-02,63.160000,63.220001,62.459999,63.220001,54.841011,1081300
2015-09-03,63.439999,64.150002,63.290001,63.430000,55.023186,577500
2015-09-04,62.799999,62.799999,62.110001,62.419998,54.147041,673600
2015-09-08,63.529999,63.980000,63.240002,63.950001,55.474262,771500
2015-09-09,64.529999,64.570000,62.880001,63.049999,54.693554,611100
2015-09-10,62.970001,63.689999,62.820000,63.270000,54.884380,808200
2015-09-11,63.119999,63.419998,62.849998,63.400002,54.997154,461000
2015-09-14,63.450001,63.450001,63.049999,63.209999,54.832336,448800
2015-09-15,63.470001,64.209999,63.389999,64.070000,55.578354,534300
2015-09-16,64.190002,64.769997,64.180000,64.699997,56.124855,742500
2015-09-17,64.580002,65.510002,64.410004,64.540001,55.986069,906800
2015-09-18,63.689999,64.160004,63.369999,63.560001,55.135960,764900
2015-09-21,63.849998,64.209999,63.580002,63.830002,55.370167,519300
2015-09-22,63.020000,63.270000,62.779999,63.119999,54.754272,682500
2015-09-23,62.740002,62.799999,62.240002,62.389999,54.577553,1142800
2015-09-24,61.990002,62.529999,61.650002,62.360001,54.551315,1180700
2015-09-25,62.990002,63.150002,62.320000,62.590000,54.752514,685000
2015-09-28,62.290001,62.310001,61.310001,61.380001,53.694035,798100
2015-09-29,61.540001,61.860001,61.250000,61.610001,53.895226,1061700
2015-09-30,62.299999,62.689999,62.009998,62.650002,54.805004,997600
2015-10-01,62.750000,62.939999,61.939999,62.590000,54.752514,949800
2015-10-02,61.950001,63.470001,61.779999,63.459999,55.513577,1031900
2015-10-05,63.930000,64.919998,63.930000,64.839996,56.720776,862500
2015-10-06,64.889999,65.099998,64.699997,64.860001,56.738274,676900
2015-10-07,65.239998,65.570000,64.879997,65.470001,57.271885,707200
2015-10-08,65.339996,66.250000,65.269997,66.160004,57.875488,630800
2015-10-09,66.279999,66.360001,65.870003,66.029999,57.761749,555600
2015-10-12,66.029999,66.029999,65.809998,65.949997,57.691784,417600
2015-10-13,65.680000,66.050003,65.519997,65.580002,57.368114,397400
2015-10-14,65.519997,65.730003,65.239998,65.360001,57.175671,662600
2015-10-15,65.599998,66.239998,65.449997,66.239998,57.945465,724000
2015-10-16,66.410004,66.669998,66.250000,66.639999,58.295372,441200
2015-10-19,66.470001,66.510002,66.260002,66.500000,58.172901,384600
2015-10-20,66.339996,66.620003,66.230003,66.430000,58.111664,320400
2015-10-21,66.589996,66.769997,66.120003,66.150002,57.866741,446800
2015-10-22,66.510002,67.620003,66.510002,67.470001,59.021450,1646100
2015-10-23,68.050003,68.180000,67.750000,68.070000,59.546314,720600
2015-10-26,68.029999,68.029999,67.739998,67.820000,59.327618,667800
2015-10-27,67.610001,67.739998,67.339996,67.550003,59.091438,514200
2015-10-28,67.680000,68.290001,67.449997,68.290001,59.738773,660400
2015-10-29,68.160004,68.190002,67.849998,68.099998,59.572559,425200
2015-10-30,68.260002,68.379997,67.900002,67.919998,59.415092,535400
2015-11-02,67.949997,68.699997,67.949997,68.660004,60.062443,528400
2015-11-03,68.480003,69.070000,68.430000,68.860001,60.237392,863700
2015-11-04,68.959999,69.000000,68.540001,68.680000,60.079933,631400
2015-11-05,68.660004,68.739998,68.220001,68.470001,59.896221,525000
2015-11-06,68.379997,68.379997,67.730003,68.349998,59.791245,498100
2015-11-09,68.190002,68.190002,67.430000,67.669998,59.196407,808200
2015-11-10,67.610001,67.889999,67.480003,67.820000,59.327618,525700
2015-11-11,67.980003,68.050003,67.739998,67.769997,59.283890,395200
2015-11-12,67.419998,67.440002,66.760002,66.790001,58.426601,588000
2015-11-13,66.599998,66.769997,66.220001,66.290001,57.989204,639200
2015-11-16,66.169998,67.330002,66.169998,67.309998,58.881485,521500
2015-11-17,67.440002,67.690002,66.940002,67.120003,58.715279,460600
2015-11-18,67.309998,68.010002,67.209999,67.959999,59.450089,539000
2015-11-19,67.959999,68.209999,67.940002,68.110001,59.581303,857700
2015-11-20,68.339996,68.540001,68.040001,68.160004,59.625042,464200
2015-11-23,68.169998,68.339996,67.940002,68.080002,59.555061,601300
2015-11-24,67.790001,68.449997,67.660004,68.309998,59.756268,501000
2015-11-25,68.339996,68.339996,68.089996,68.180000,59.642536,542200
2015-11-27,68.190002,68.320000,68.050003,68.260002,59.712536,135800
2015-11-30,68.339996,68.400002,68.040001,68.070000,59.546314,642100
2015-12-01,68.320000,68.699997,68.239998,68.669998,60.071171,707800
2015-12-02,68.669998,68.709999,67.800003,67.900002,59.397602,875000
2015-12-03,68.139999,68.139999,66.790001,67.040001,58.645290,968500
2015-12-04,67.160004,68.320000,67.129997,68.230003,59.686279,759800
2015-12-07,68.029999,68.029999,67.389999,67.779999,59.292625,875900
2015-12-08,67.230003,67.540001,66.870003,67.160004,58.750271,832700
2015-12-09,67.019997,67.940002,66.559998,66.970001,58.584049,980500
2015-12-10,67.089996,67.570000,66.870003,67.070000,58.671528,869700
2015-12-11,66.339996,66.559998,65.800003,65.910004,57.656784,1306900
2015-12-14,65.970001,66.309998,65.419998,66.309998,58.006699,1143700
2015-12-15,66.910004,67.400002,66.760002,67.129997,58.724022,748700
2015-12-16,67.470001,68.180000,67.129997,68.070000,59.546314,1092900
2015-12-17,68.180000,68.190002,67.139999,67.160004,58.750271,883900
2015-12-18,67.010002,67.010002,66.000000,66.010002,57.744267,1207300
2015-12-21,65.779999,65.919998,65.360001,65.839996,58.122990,1279700
2015-12-22,66.160004,66.650002,65.809998,66.540001,58.740936,812600
2015-12-23,67.010002,67.540001,66.940002,67.540001,59.623730,1133200
2015-12-24,67.489998,67.550003,67.269997,67.349998,59.455997,414900
2015-12-28,67.089996,67.199997,66.800003,67.180000,59.305923,1173100
2015-12-29,67.660004,67.930000,67.599998,67.820000,59.870911,811100
2015-12-30,67.720001,67.760002,67.339996,67.410004,59.508972,824200
2015-12-31,67.150002,67.320000,66.750000,66.750000,58.926323,738200
2016-01-04,65.769997,65.949997,65.139999,65.949997,58.220093,2195500
2016-01-05,66.029999,66.349998,65.709999,66.279999,58.511414,1176200
2016-01-06,65.379997,65.739998,65.029999,65.410004,57.743389,1384000
2016-01-07,64.410004,64.970001,63.790001,64.000000,56.498650,1662200
2016-01-08,64.440002,64.489998,63.160000,63.279999,55.863037,1629100
2016-01-11,63.630001,63.759998,62.730000,63.349998,55.924835,1899600
2016-01-12,63.910000,63.990002,62.930000,63.689999,56.224987,1216600
2016-01-13,64.050003,64.150002,62.380001,62.500000,55.174465,1274900
2016-01-14,62.770000,64.019997,62.480000,63.639999,56.180843,1527700
2016-01-15,62.099998,62.610001,61.650002,62.410000,55.095016,2333500
2016-01-19,62.939999,63.040001,61.889999,62.400002,55.086182,1635400
2016-01-20,61.490002,62.000000,60.220001,61.509998,54.300503,2414000
2016-01-21,61.750000,62.500000,61.200001,61.919998,54.662441,1359600
2016-01-22,62.889999,63.130001,62.509998,63.080002,55.686485,950700
2016-01-25,62.860001,62.990002,62.139999,62.189999,54.900795,816600
2016-01-26,62.470001,63.299999,62.470001,63.230000,55.818893,600800
2016-01-27,63.049999,63.880001,62.500000,62.910000,55.536411,908100
2016-01-28,63.410000,63.549999,62.730000,63.330002,55.907177,1749300
2016-01-29,63.779999,64.870003,63.720001,64.870003,57.266682,2631700
2016-02-01,64.389999,64.989998,64.139999,64.709999,57.125435,2127800
2016-02-02,64.019997,64.019997,63.450001,63.660000,56.198498,2017600
2016-02-03,64.080002,64.430000,62.900002,64.300003,56.763489,1529100
2016-02-04,64.089996,64.699997,63.919998,64.400002,56.851753,1419000
2016-02-05,64.239998,64.400002,63.480000,63.750000,56.277943,1520600
2016-02-08,63.099998,63.619999,62.660000,63.450001,56.013111,1104400
2016-02-09,62.810001,63.790001,62.810001,63.380001,55.951309,1722500
2016-02-10,63.630001,63.950001,63.049999,63.110001,55.712963,2287900
2016-02-11,62.209999,62.680000,61.790001,62.330002,55.024395,2332600
2016-02-12,62.869999,63.560001,62.720001,63.560001,56.110226,2053300
2016-02-16,64.220001,64.480003,63.779999,64.480003,56.922390,1018200
2016-02-17,64.849998,65.430000,64.779999,65.290001,57.637447,1284000
2016-02-18,65.379997,65.459999,65.110001,65.300003,57.646271,1236500
2016-02-19,65.029999,65.180000,64.779999,65.139999,57.505024,985600
2016-02-22,65.760002,65.959999,65.610001,65.919998,58.193604,793100
2016-02-23,65.680000,65.720001,65.040001,65.160004,57.522690,1126900
2016-02-24,64.620003,65.419998,64.180000,65.349998,57.690414,955900
2016-02-25,65.510002,66.080002,65.260002,66.080002,58.334846,776200
2016-02-26,66.430000,66.430000,65.660004,65.720001,58.017052,906800
2016-02-29,65.730003,66.080002,65.199997,65.199997,57.557999,650400
2016-03-01,65.750000,66.529999,65.559998,66.500000,58.705620,905200
2016-03-02,66.410004,67.000000,66.230003,67.000000,59.147026,706500
2016-03-03,66.959999,67.279999,66.669998,67.269997,59.385372,892700
2016-03-04,67.269997,67.760002,67.019997,67.529999,59.614895,1111500
